ko_id	seed_ids	definition	kegg_ids
K04105	rxn00964;rxn01035	4-hydroxybenzoate-CoA ligase [EC:6.2.1.27 6.2.1.25]	R01300;R01422
K04128	rxn03545	hydroxymethyl cephem carbamoyltransferase [EC:2.1.3.7]	R05230
K04120	rxn01490	ent-copalyl diphosphate synthase [EC:5.5.1.13]	R02068
K04121	rxn03452	ent-kaurene synthase [EC:4.2.3.19]	R05092
K04122	rxn04165;rxn23455;rxn04166;rxn04167	ent-kaurene oxidase [EC:1.14.14.86]	R06292;R06291;R10066;R06293
K04123	rxn23454;rxn04170;rxn04171;rxn04168;rxn04169	ent-kaurenoic acid monooxygenase [EC:1.14.14.107]	R06297;R10067;R06296;R06295;R06294
K04124	rxn04209;rxn02158	gibberellin 3beta-dioxygenase [EC:1.14.11.15]	R06336;R03009
K04125	rxn04215;rxn04211;rxn04216;rxn04218;rxn02157;rxn02699;rxn04210;rxn04217	gibberellin 2beta-dioxygenase [EC:1.14.11.13]	R06344;R06343;R06342;R06337;R03809;R06345;R03008;R06338
K04126	rxn03327	isopenicillin-N synthase [EC:1.21.3.1]	R04872
K04127	rxn02896	isopenicillin-N epimerase [EC:5.1.1.17]	R04147
K16188	rxn23598	tetraprenyl-beta-curcumene synthase [EC:4.2.3.130]	R10009
K16190	rxn15209;rxn01076	glucuronokinase [EC:2.7.1.43]	R01476
K17497	rxn01329	phosphomannomutase [EC:5.4.2.8]	R01818
K16165	rxn00801	fumarylpyruvate hydrolase [EC:3.7.1.20]	R01085
K16173	rxn06938	glutaryl-CoA dehydrogenase (non-decarboxylating) [EC:1.3.99.32]	R05579
K16171	rxn00993	fumarylacetoacetate (FAA) hydrolase [EC:3.7.1.2]	R01364
K16179	rxn16845	dimethylamine corrinoid protein	R09999
K16178	rxn39969;rxn16845	dimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.249]	R09999;R10015
K16177	rxn16844	monomethylamine corrinoid protein	R09998
K16176	rxn16844;rxn39968	methylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.248]	R09998;R10014
K16182	rxn39967	3-methylornithyl-N6-L-lysine dehydrogenase [EC:1.4.1.-]	R10012
K16181	rxn39966	3-methylornithine--L-lysine ligase [EC:6.3.2.-]	R10011
K16180	rxn19159	methylornithine synthase [EC:5.4.99.58]	R10010
K06912	rxn03719;rxn03786;rxn39502	alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase [EC:1.14.11.-]	R05493;R05419
K16304	rxn03561	p-cumate 2,3-dioxygenase ferredoxin component	R05247
K16303	rxn03561	p-cumate 2,3-dioxygenase subunit beta [EC:1.14.12.25]	R05247
K16306	rxn15748;rxn01870;rxn15116;rxn00786	fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]	R08568;R01068;R02568;R01070
K16305	rxn15116;rxn39985;rxn23417;rxn01870;rxn00786	fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]	R10049;R01068;R02568;R10050;R01070
K18966	rxn00346;rxn01784	sulfinoalanine decarboxylase / aspartate 1-decarboxylase [EC:4.1.1.29 4.1.1.11]	R02466;R00489
K06970	rxn39797;rxn07212	23S rRNA (adenine1618-N6)-methyltransferase [EC:2.1.1.181]	R07232
K17646	rxn25611;rxn40211	5'-oxoaverantin cyclase / versicolorin B synthase [EC:4.2.1.142 4.2.1.143]	R10402;R10475
K18978	rxn00779	glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+] [EC:1.2.1.90]	R10860;R01058
K17645	rxn40151;rxn25605	averantin hydroxylase [EC:1.14.14.116]	R10317;R10318
K17644	rxn37421	norsolorinic acid ketoreductase [EC:1.1.1.349]	R10309
K17643	rxn22001	noranthrone monooxygenase [EC:1.13.12.20]	R10224
K16319	rxn00594;rxn00595	anthranilate 1,2-dioxygenase large subunit [EC:1.14.12.1]	R00825;R00823
K18974	rxn02201;rxn02200	dihydropteroate synthase type 1 [EC:2.5.1.15]	R03066;R03067
K17649	rxn02232;rxn25631	demethylsterigmatocystin 6-O-methyltransferase [EC:2.1.1.109]	R10403;R03112
K17648	rxn40207;rxn40210	versiconal hemiacetal acetate esterase [EC:3.1.1.94]	R10401;R10398
K17647	rxn40208;rxn39957;rxn40209	versiconal hemiacetal acetate reductase [EC:1.1.1.353]	R09756;R10399;R10400
K06966	rxn00362;rxn00131;rxn15049;rxn15018	pyrimidine/purine-5'-nucleotide nucleosidase [EC:3.2.2.10 3.2.2.-]	R00182;R00510
K04339	rxn02426	scyllo-inosamine 4-kinase [EC:2.7.1.65]	R03384
K06998	rxn16553	trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]	R09707
K17626	rxn07152	clorobiocin biosynthesis protein CloN1	R06748
K17625	rxn40253	dTDP-4-keto-6-deoxyhexose reductase [EC:1.1.1.-]	R10459
K06989	rxn05119;rxn05117	aspartate dehydrogenase [EC:1.4.1.21]	R07410;R07407
K06981	rxn20839	isopentenyl phosphate kinase [EC:2.7.4.26]	R10093
K06982	rxn16217	pantoate kinase [EC:2.7.1.169]	R09378
K06984	rxn24636	beta-ribofuranosylaminobenzene 5'-phosphate synthase [EC:2.4.2.54]	R10337;R11102
K05602	rxn02160	histidinol-phosphatase [EC:3.1.3.15]	R03013
K05603	rxn01640	formimidoylglutamate deiminase [EC:3.5.3.13]	R02286
K05604	rxn01464;rxn00865;rxn02353	beta-Ala-His dipeptidase [EC:3.4.13.20]	R03288;R01166;R01992
K05605	rxn03433;rxn39480;rxn02261	3-hydroxyisobutyryl-CoA hydrolase [EC:3.1.2.4]	R03158;R05064
K05606	rxn16825;rxn01996	methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]	R02765;R09979
K05607	rxn01504	methylglutaconyl-CoA hydratase [EC:4.2.1.18]	R02085
K05600	rxn00594;rxn00595	anthranilate 1,2-dioxygenase (deaminating, decarboxylating) small subunit [EC:1.14.12.1]	R00825;R00823
K05601	rxn00109	hydroxylamine reductase [EC:1.7.99.1]	R00143
K18933	rxn00346;rxn00529	tyrosine decarboxylase / aspartate 1-decarboxylase [EC:4.1.1.25 4.1.1.11]	R00736;R00489
K06927	rxn06425;rxn39410	diphthine-ammonia ligase [EC:6.3.1.14]	R03613
K06928	rxn00062;rxn00436	nucleoside-triphosphatase [EC:3.6.1.15]	R00615;R00086
K06920	rxn16824	7-cyano-7-deazaguanine synthase [EC:6.3.4.20]	R09978
K18911	rxn14097	L-histidine Nalpha-methyltransferase [EC:2.1.1.44]	R01169
K06949	rxn00436;rxn01539	ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]	R00615;R02135
K16269	rxn02860;rxn04672;rxn03698;rxn03655;rxn07517;rxn04647;rxn00583	cis-1,2-dihydrobenzene-1,2-diol/chlorobenzene dihydrodiol dehydrogenase [EC:1.3.1.19 1.3.1.119]	R04088;R05397;R05354;R06832;R06857;R07703;R00812
K16268	rxn03729;rxn02539;rxn02526;rxn16013;rxn39930;rxn04646;rxn16014;rxn39929;rxn04671	benzene/toluene/chlorobenzene dioxygenase subunit beta [EC:1.14.12.3 1.14.12.11 1.14.12.26]	R06831;R03543;R06856;R03559;R05429;R09151;R09152
K16266	rxn37424;rxn02589	cyanohydrin UDP-glucosyltransferase [EC:2.4.1.-]	R10037;R03625
K04283	rxn12047;rxn02705;rxn12046	trypanothione-disulfide reductase [EC:1.8.1.12]	R08356;R08357;R03821
K16265	rxn39974;rxn24042	(E)-2-methylbutanal oxime monooxygenase [EC:1.14.14.41]	R11642;R10034;R11640;R11641;R10030;R11639
K16270	rxn02861	3-methylcatechol 2,3-dioxygenase [EC:1.13.11.-]	R04089
K05597	rxn00342;rxn01153;rxn00189	glutamin-(asparagin-)ase [EC:3.5.1.38]	R00485;R00256;R01579
K05599	rxn00594;rxn00595	anthranilate 1,2-dioxygenase (deaminating, decarboxylating) large subunit [EC:1.14.12.1]	R00825;R00823
K16249	rxn39978;rxn39979;rxn02577;rxn02540	phenol/toluene 2-monooxygenase (NADH) P0/A0	R03608;R03560;R10043;R10042
K16246	rxn39978;rxn39979;rxn02577;rxn02540	phenol/toluene 2-monooxygenase (NADH) P5/A5 [EC:1.14.13.244 1.14.13.243]	R03608;R03560;R10043;R10042
K16245	rxn39978;rxn39979;rxn02577;rxn02540	phenol/toluene 2-monooxygenase (NADH) P4/A4 [EC:1.14.13.244 1.14.13.243]	R03608;R03560;R10043;R10042
K16244	rxn39978;rxn39979;rxn02577;rxn02540	phenol/toluene 2-monooxygenase (NADH) P2/A2 [EC:1.14.13.244 1.14.13.243]	R03608;R03560;R10043;R10042
K16243	rxn39978;rxn39979;rxn02577;rxn02540	phenol/toluene 2-monooxygenase (NADH) P1/A1 [EC:1.14.13.244 1.14.13.243]	R03608;R03560;R10043;R10042
K16242	rxn39978;rxn39979;rxn02577;rxn02540	phenol/toluene 2-monooxygenase (NADH) P3/A3 [EC:1.14.13.244 1.14.13.243]	R03608;R03560;R10043;R10042
K18884	rxn21759	4-dimethylallyltryptophan N-methyltransferase [EC:2.1.1.261]	R10166
K06897	rxn20800	7,8-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene 5'-phosphate synthase [EC:2.5.1.105]	R10339
K06896	rxn40273	maltose 6'-phosphate phosphatase [EC:3.1.3.90]	R10486
K18896	rxn23648	glycine/sarcosine N-methyltransferase [EC:2.1.1.156]	R10060
K18897	rxn23649	sarcosine/dimethylglycine N-methyltransferase [EC:2.1.1.157]	R10061
K16239	rxn00921	4-hydroxybenzoate decarboxylase subunit C [EC:4.1.1.61]	R01238
K05550	rxn03936;rxn07890;rxn03602;rxn07896;rxn03728;rxn03897;rxn03898;rxn07889;rxn03603;rxn07898;rxn07897	benzoate/toluate 1,2-dioxygenase subunit beta [EC:1.14.12.10 1.14.12.-]	R08101;R05621;R05665;R08108;R05622;R05290;R05291;R05428;R08109;R08100;R08110
K05551	rxn07133;rxn07135;rxn07127;rxn07134;rxn39745;rxn07125;rxn39740;rxn39744;rxn16118;rxn39741;rxn16119;rxn07131;rxn39743;rxn39739	minimal PKS ketosynthase (KS/KS alpha) [EC:2.3.1.- 2.3.1.260 2.3.1.235]	R06641;R06645;R10960;R06644;R06643;R09258;R09259;R06637;R06635;R11516
K06881	rxn00137;rxn00360	bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]	R00508;R00188
K05552	rxn07133;rxn07135;rxn07127;rxn07134;rxn39745;rxn07125;rxn39740;rxn39744;rxn16118;rxn39741;rxn16119;rxn07131;rxn39743;rxn39739	minimal PKS chain-length factor (CLF/KS beta) [EC:2.3.1.- 2.3.1.260 2.3.1.235]	R06641;R06645;R10960;R06644;R06643;R09258;R09259;R06637;R06635;R11516
K05553	rxn07133;rxn07135;rxn07127;rxn07134;rxn39745;rxn07125;rxn39740;rxn39744;rxn16118;rxn39741;rxn16119;rxn07131;rxn39743;rxn39739	minimal PKS acyl carrier protein	R06641;R06645;R10960;R06644;R06643;R09258;R09259;R06637;R06635;R11516
K05554	rxn16125	aromatase [EC:4.2.1.-]	R09265
K05555	rxn16154	cyclase [EC:4.-.-.-]	R09305
K05556	rxn16155;rxn16156;rxn16157	ketoreductase RED1 [EC:1.1.1.-]	R09306;R09307;R09308
K16205	rxn16754	tirucalladienol synthase [EC:5.4.99.56]	R09916
K16204	rxn16750;rxn16752	seco-amyrin synthase [EC:5.4.99.52 5.4.99.54]	R09912;R09914
K18860	rxn48571;rxn39326;rxn06109	putative succinate dehydrogenase / fumarate reductase, subunit D	R02164
K18861	rxn16139	4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40]	R09279
K16207	rxn16751	marneral synthase [EC:5.4.99.53]	R09913
K16206	rxn16755	baruol synthase [EC:5.4.99.57]	R09917
K16213	rxn15205;rxn01052;rxn15206	cellobiose epimerase [EC:5.1.3.11]	R10810;R01445
K16212	rxn16787;rxn16786;rxn16788	4-O-beta-D-mannosyl-D-glucose phosphorylase [EC:2.4.1.281]	R09943
K18880	rxn03254	Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]	R04756
K18881	rxn08659	D-lactate dehydratase [EC:4.2.1.130]	R09796
K05709	rxn04597;rxn04598	3-phenylpropionate/trans-cinnamate dioxygenase subunit beta [EC:1.14.12.19]	R06783;R06782
K05708	rxn04597;rxn04598	3-phenylpropionate/trans-cinnamate dioxygenase subunit alpha [EC:1.14.12.19]	R06783;R06782
K16425	rxn39736;rxn04474	isomerase DpgB	R06625
K16424	rxn39736;rxn04474	3,5-dihydroxyphenylacetyl-CoA synthase [EC:2.3.1.246]	R06625
K17755	rxn00752;rxn11743;rxn11744	choline oxidase [EC:1.1.3.17]	R08211;R01022;R08212
K16423	rxn39738;rxn04475;rxn04483	(S)-3,5-dihydroxyphenylglycine transaminase [EC:2.6.1.103]	R06634;R06626
K17754	rxn01597	cyclopentanol dehydrogenase [EC:1.1.1.163]	R02229
K16422	rxn39737;rxn04482	4-hydroxymandelate oxidase [EC:1.1.3.46]	R06633
K17753	rxn01419;rxn00505;rxn15057;rxn01420;rxn03324;rxn15056	isocitrate--homoisocitrate dehydrogenase [EC:1.1.1.286]	R01936;R04862;R00709;R01934
K16421	rxn11674	4-hydroxymandelate synthase [EC:1.13.11.46]	R06632
K17750	rxn40286	3-benzylmalate dehydrogenase [EC:1.1.1.-]	R10502
K16427	rxn04473	(3,5-dihydroxyphenyl)acetyl-CoA 1,2-dioxygenase [EC:1.13.11.80]	R06624
K16426	rxn39736;rxn04474	dehydration protein DpgD	R06625
K03103	rxn02461;rxn16373	multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase [EC:3.1.3.62 3.1.3.80]	R09532;R03434
K16436	rxn04480;rxn39718;rxn15869;rxn04288	dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose/dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose/dTDP-2,6-dideoxy-D-kanosamine transaminase [EC:2.6.1.- 2.6.1.106]	R06631;R08928;R06426
K16435	rxn04290;rxn03807	dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose 2,3-dehydratase [EC:4.2.1.159]	R06428;R05518
K17761	rxn00508	succinate-semialdehyde dehydrogenase, mitochondrial [EC:1.2.1.24]	R00713
K16439	rxn04478	reductase EvaE	R06629
K16438	rxn04477;rxn04295	5-epimerase [EC:5.1.3.-]	R11138;R11046;R06433;R08934;R06628
K16437	rxn04476	methylation protein EvaC	R06627
K17739	rxn02079	tetrahydroxynaphthalene reductase [EC:1.1.1.252]	R02906
K17738	rxn04932;rxn15657	D-arabinitol 2-dehydrogenase [EC:1.1.1.250]	R07134
K05783	rxn03625;rxn03604;rxn07899;rxn07901;rxn03620;rxn03605;rxn00584;rxn07900	dihydroxycyclohexadiene carboxylate dehydrogenase [EC:1.3.1.25 1.3.1.-]	R00813;R08113;R08112;R05314;R08111;R05292;R05293;R05309
K05784	rxn03936;rxn07890;rxn03602;rxn07896;rxn03728;rxn03897;rxn03898;rxn07889;rxn03603;rxn07898;rxn07897	benzoate/toluate 1,2-dioxygenase reductase component [EC:1.18.1.-]	R08101;R05621;R05665;R08108;R05622;R05290;R05291;R05428;R08109;R08100;R08110
K17745	rxn16836;rxn16835	sepiapterin reductase [EC:1.1.1.325]	R09989;R09990
K17744	rxn07490	L-galactose dehydrogenase [EC:1.1.1.316]	R07675
K17743	rxn16319;rxn15189;rxn16321;rxn16320;rxn01043;rxn15190	D-xylose reductase [EC:1.1.1.307]	R09477;R01431
K17742	rxn05085	sorbose reductase [EC:1.1.1.289]	R07346
K17741	rxn01618	NADPH-dependent methylglyoxal reductase [EC:1.1.1.283]	R02260
K05780	rxn26456	alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL [EC:2.7.8.37]	R10185
K17749	rxn40285	3-benzylmalate isomerase [EC:4.2.1.-]	R10501
K17748	rxn40284	benzylmalate synthase [EC:2.3.3.-]	R10500
K17747	rxn40045	1-deoxy-11beta-hydroxypentalenate dehydrogenase [EC:1.1.1.340]	R10156
K17746	rxn40023	chanoclavine-I dehydrogenase [EC:1.1.1.332]	R10128
K03119	rxn03630	taurine dioxygenase [EC:1.14.11.17]	R05320
K05774	rxn04651	ribose 1,5-bisphosphokinase [EC:2.7.4.23]	R06836
K17712	rxn11871;rxn11798;rxn11870;rxn11992;rxn11872;rxn16258;rxn11795	cytochrome P450 family 2 subfamily D polypeptide 6 [EC:1.14.14.1]	R08343;R09421;R08267;R08344;R03697;R08345;R08270
K17719	rxn04861;rxn11902;rxn11900;rxn11803;rxn11853;rxn37427;rxn04854;rxn11795;rxn11813;rxn15653;rxn04884;rxn04857;rxn04888;rxn04883;rxn04890;rxn04862;rxn04856;rxn11851;rxn11852;rxn04882	cytochrome P450 family 2 subfamily C polypeptide 9 [EC:1.14.14.51 1.14.14.52 1.14.14.53 1.14.14.-]	R07080;R07048;R08325;R08326;R07079;R07056;R08267;R08324;R07051;R07050;R08285;R08275;R07081;R07055;R08390;R07087;R08392;R07085
K17718	rxn04861;rxn11902;rxn11900;rxn04849;rxn37427;rxn04854;rxn04862;rxn04856;rxn11840;rxn04848	cytochrome P450 family 2 subfamily C polypeptide 8 [EC:1.14.14.1]	R07048;R07056;R08312;R07050;R07055;R08390;R07043;R07042;R08392
K17717	rxn05963;rxn07262;rxn06086	phospholipase D [EC:3.1.4.4]	R02051;R01310;R07385
K17716	rxn00214	UDP-glucose 4-epimerase [EC:5.1.3.2]	R00291;R12554
K17723	rxn00719;rxn01027	dihydropyrimidine dehydrogenase (NAD+) subunit PreA [EC:1.3.1.1]	R11026;R01414;R00977
K17722	rxn00719;rxn01027	dihydropyrimidine dehydrogenase (NAD+) subunit PreT [EC:1.3.1.1]	R11026;R01414;R00977
K17721	rxn04861;rxn11813;rxn04852;rxn11870;rxn11803;rxn04862;rxn37427	cytochrome P450 family 2 subfamily C polypeptide 19 [EC:1.14.14.51 1.14.14.52 1.14.14.53 1.14.14.75 1.14.14.-]	R07046;R07056;R08343;R08285;R08275;R07055
K17720	rxn11902;rxn11900	cytochrome P450 family 2 subfamily C polypeptide 18 [EC:1.14.14.1]	R08390;R08392
K17728	rxn04852	cytochrome P450 family 4 subfamily F polypeptide 8 [EC:1.14.14.1]	R07046
K17726	rxn04847;rxn02726	phylloquinone omega-hydroxylase / docosahexaenoic acid omega-hydroxylase / leukotriene-B4 20-monooxygenase [EC:1.14.14.78 1.14.14.79 1.14.14.94]	R03866;R07041
K17725	rxn14050	sulfur dioxygenase [EC:1.13.11.18]	R08678
K17724	rxn01605	aconitate decarboxylase [EC:4.1.1.6]	R02243
K05712	rxn04602;rxn04601	3-(3-hydroxy-phenyl)propionate hydroxylase [EC:1.14.13.127]	R06787;R06786
K05713	rxn03038;rxn04603	2,3-dihydroxyphenylpropionate 1,2-dioxygenase [EC:1.13.11.16]	R06788;R04376
K05714	rxn01895;rxn04604	2-hydroxy-6-oxonona-2,4-dienedioate hydrolase [EC:3.7.1.14]	R06789;R02603
K05715	rxn01926	2-phosphoglycerate kinase [EC:2.7.2.16]	R02664
K05710	rxn04597;rxn04598	3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin component	R06783;R06782
K05711	rxn04599;rxn04600	2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase [EC:1.3.1.87]	R06784;R06785
K17709	rxn16278;rxn11902;rxn11900;rxn11803;rxn11901;rxn04857;rxn11853;rxn04858;rxn04854;rxn11815;rxn11814;rxn11813;rxn11841;rxn04856;rxn11851;rxn11852;rxn04807	cytochrome P450 family 2 subfamily B polypeptide 6 [EC:1.14.13.-]	R07048;R08325;R08326;R08313;R08324;R07051;R07050;R08285;R08275;R08286;R09441;R08287;R07000;R08390;R08391;R08392;R07052
K15058	rxn03705	2-aminophenol/2-amino-5-chlorophenol 1,6-dioxygenase subunit alpha	R05405
K15059	rxn03705	2-aminophenol/2-amino-5-chlorophenol 1,6-dioxygenase subunit beta [EC:1.13.11.74 1.13.11.76]	R05405
K15056	rxn07544	2-hydroxylaminobenzoate mutase [EC:5.4.99.-]	R07730
K15057	rxn03700;rxn03701	nitrobenzene nitroreductase [EC:1.7.1.16]	R05401;R05400
K15054	rxn07479;rxn06609	(S)-mandelate dehydrogenase [EC:1.1.99.31]	R07664;R04160
K15055	rxn07541	2-nitrobenzoate nitroreductase [EC:1.7.1.-]	R07727
K15063	rxn16138	5-carboxyvanillate decarboxylase	R09278
K15064	rxn16130	syringate O-demethylase [EC:2.1.1.-]	R09270
K15061	rxn16136	OH-DDVA oxygenase	R09276
K15062	rxn16137	OH-DDVA meta-cleavage compound hydrolase	R09277
K15060	rxn16135	5,5'-dehydrodivanillate O-demethylase oxygenase subunit [EC:1.14.13.-]	R09275
K15067	rxn02743	2-aminomuconate deaminase [EC:3.5.99.5]	R03887
K15065	rxn16132;rxn02983	3-O-methylgallate 3,4-dioxygenase [EC:1.13.11.-]	R04280;R09272
K15066	rxn23757;rxn16131	vanillate/3-O-methylgallate O-demethylase [EC:2.1.1.341]	R10136;R09271
K15038	rxn16140	succinyl-CoA reductase [EC:1.2.1.76]	R09280
K15039	rxn16149	3-hydroxypropionate dehydrogenase (NADP+) [EC:1.1.1.298]	R09289
K16369	rxn06091	phosphatidylethanolamine N-methyltransferase [EC:2.1.1.17]	R02056
K15036	rxn00533;rxn06673;rxn01355	acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3 2.1.3.15]	R01859;R04386;R00742
K16368	rxn16789	diacylglycerol kinase (CTP) [EC:2.7.1.174]	R09944
K15037	rxn00533;rxn01355	biotin carboxyl carrier protein	R01859;R00742
K16363	rxn05330;rxn03146;rxn05332;rxn05329;rxn05333;rxn05331;rxn05335;rxn05334;rxn17757	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]	R04587;R04544;R04954;R04965;R04537;R04535;R04568;R04428;R10208
K16371	rxn00787	D-tagatose-1,6-bisphosphate aldolase subunit GatZ/KbaZ	R01069
K16370	rxn02317;rxn02314;rxn02315;rxn02316;rxn15493;rxn00545	6-phosphofructokinase 2 [EC:2.7.1.11]	R03237;R03236;R04779;R03239;R03238;R00756
K03084	rxn16668	phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 1 [EC:3.1.3.86]	R09827
K03079	rxn02321	L-ribulose-5-phosphate 3-epimerase [EC:5.1.3.22]	R03244
K03078	rxn04928	3-dehydro-L-gulonate-6-phosphate decarboxylase [EC:4.1.1.85]	R07125
K03077	rxn04082	L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]	R05850
K15052	rxn01355	propionyl-CoA carboxylase [EC:6.4.1.3 2.1.3.15]	R01859
K15016	rxn01451;rxn02167	enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35]	R03026;R01975
K15017	rxn16140;rxn00532	malonyl-CoA/succinyl-CoA reductase (NADPH) [EC:1.2.1.75 1.2.1.76]	R09280;R00740
K15013	rxn00947;rxn05830	long-chain-fatty-acid--CoA ligase ACSBG [EC:6.2.1.3]	R00390;R01280
K16343	rxn13951;rxn07264;rxn07180;rxn06088;rxn39320;rxn07256;rxn07649;rxn15169	calcium-independent phospholipase A2 [EC:3.1.1.4]	R07387;R02053;R07379;R07859;R01315;R01317;R07064
K16342	rxn13951;rxn07264;rxn07180;rxn06088;rxn39320;rxn07256;rxn07649;rxn15169	cytosolic phospholipase A2 [EC:3.1.1.4]	R07387;R02053;R07379;R07859;R01315;R01317;R07064
K15018	rxn16146	3-hydroxypropionyl-coenzyme A synthetase [EC:6.2.1.36]	R09286
K15019	rxn02181	3-hydroxypropionyl-coenzyme A dehydratase [EC:4.2.1.116]	R03045
K15020	rxn00668	acryloyl-coenzyme A reductase [EC:1.3.1.84]	R00919
K17689	rxn04861;rxn11900;rxn11803;rxn02448;rxn39894;rxn11869;rxn11815;rxn11799;rxn11821;rxn11784;rxn11866;rxn11813;rxn15653;rxn11831;rxn11867;rxn04807;rxn11832;rxn04884;rxn11901;rxn16245;rxn11797;rxn04888;rxn11796;rxn11822;rxn11814;rxn12029;rxn16241;rxn04862;rxn12031;rxn04882;rxn11805;rxn11902;rxn11846;rxn01696;rxn11868;rxn37427;rxn11802;rxn11870;rxn16260;rxn11804;rxn03992;rxn04808;rxn39893;rxn04883;rxn04890;rxn11841;rxn11840;rxn11800	cytochrome P450 family 3 subfamily A polypeptide 4 [EC:1.14.13.32 1.14.14.55 1.14.14.56 1.14.14.57 1.14.14.73 1.14.13.-]	R07080;R09404;R07001;R08339;R08277;R08256;R08257;R08312;R09423;R08313;R08274;R08275;R07081;R08276;R07000;R08390;R07087;R08391;R08271;R08293;R08392;R07085;R08272;R08294;R02356;R08318;R09408;R03408;R05727;R08303;R08304;R07079;R07056;R08343;R08268;R08269;R08285;R08340;R08264;R08286;R08341;R08287;R08342;R07055
K15023	rxn40099;rxn06149	5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase [EC:2.1.1.258]	R02289;R10243
K15024	rxn00173;rxn00670	putative phosphotransacetylase [EC:2.3.1.8]	R00230;R00921
K17685	rxn16243;rxn16261;rxn16245;rxn16262;rxn16260;rxn16258	cytochrome P450 family 2 subfamily A polypeptide 13 [EC:1.14.14.1]	R09425;R09406;R09421;R09423;R09424;R09408
K15022	rxn00103	formate dehydrogenase (NADP+) beta subunit [EC:1.17.1.10]	R00134
K17683	rxn11902;rxn11900;rxn16260;rxn16245;rxn04808;rxn11853;rxn12024;rxn11854;rxn16258;rxn07735;rxn16261;rxn04807;rxn16262;rxn11851;rxn11852;rxn11901	cytochrome P450 family 2 subfamily A polypeptide 6 [EC:1.14.13.-]	R07945;R09408;R08325;R09425;R08326;R08327;R07001;R09421;R09423;R08225;R08324;R09424;R07000;R08390;R08391;R08392
K04340	rxn02488	scyllo-inosamine-4-phosphate amidinotransferase 1 [EC:2.1.4.2]	R03477
K04341	rxn02947	dTDP-dihydrostreptose-streptidine-6-phosphate dihydrostreptosyltransferase [EC:2.4.2.27]	R04222
K04342	rxn01596	streptomycin-6-phosphatase [EC:3.1.3.39]	R02228
K17691	rxn02448;rxn11902;rxn11900	cytochrome P450 family 3 subfamily A polypeptide 7 [EC:1.14.14.1]	R08390;R03408;R08392
K04343	rxn01593	streptomycin 6-kinase [EC:2.7.1.72]	R02225
K17690	rxn11902;rxn11900;rxn16245;rxn02448;rxn01696;rxn11815;rxn11814;rxn16241;rxn11901	cytochrome P450 family 3 subfamily A polypeptide 5 [EC:1.14.14.1]	R09404;R02356;R08286;R08287;R08390;R08391;R09408;R03408;R08392
K17652	rxn25609;rxn40145	5'-hydroxyaverantin dehydrogenase [EC:1.1.1.352]	R10311;R10310
K16320	rxn00594;rxn00595	anthranilate 1,2-dioxygenase small subunit [EC:1.14.12.1]	R00825;R00823
K17651	rxn40152;rxn25625	aflatoxin B synthase [EC:1.14.14.117]	R10320;R10319
K17650	rxn02231;rxn40144	sterigmatocystin 8-O-methyltransferase [EC:2.1.1.110]	R03111;R10307
K16329	rxn15113;rxn00776	pseudouridylate synthase [EC:4.2.1.70]	R01055
K16328	rxn02375	pseudouridine kinase [EC:2.7.1.83]	R03315
K16330	rxn02375;rxn15113;rxn00776	pseudouridylate synthase / pseudouridine kinase [EC:4.2.1.70 2.7.1.83]	R01055;R03315
K16339	rxn16288	acyl-coenzyme A thioesterase THEM4 [EC:3.1.2.2]	R09450
